Imputation Iteration #,TrainingSteps,Scoring
0,1354000,Individual
0,1856000,Individual
0,1875000,Individual
0,1728000,Individual
0,1588000,Individual
0,1049000,Individual
0,1184000,Individual
0,1182000,Individual
0,1518000,Individual
0,1085000,Individual
0,1203000,Individual
0,2149000,Individual
0,1532000,Individual
0,1096000,Individual
0,1278000,Individual
1,1544000,Individual
1,1952000,Individual
1,1584000,Individual
1,1767000,Individual
1,1955000,Individual
1,2350000,Individual
1,1876000,Individual
1,1443000,Individual
1,1474000,Individual
1,2993000,Individual
1,2749000,Individual
1,2404000,Individual
1,1654000,Individual
1,2039000,Individual
1,3034000,Individual
2,2100000,Individual
2,1952000,Individual
2,2068000,Individual
2,2360000,Individual
2,1691000,Individual
2,1656000,Individual
2,2003000,Individual
2,2068000,Individual
2,1674000,Individual
2,2069000,Individual
2,1813000,Individual
2,1813000,Individual
2,1736000,Individual
2,1675000,Individual
2,1584000,Individual
3,2408000,Individual
3,1952000,Individual
3,2357000,Individual
3,1689000,Individual
3,2527000,Individual
3,1978000,Individual
3,2100000,Individual
3,1815000,Individual
3,1952000,Individual
3,1679000,Individual
3,1781000,Individual
3,2376000,Individual
3,1877000,Individual
3,1800000,Individual
3,1483000,Individual
4,1876000,Individual
4,1679000,Individual
4,2069000,Individual
4,1781000,Individual
4,2064000,Individual
4,2100000,Individual
4,2172000,Individual
4,1615000,Individual
4,2172000,Individual
4,2172000,Individual
4,2156000,Individual
4,1825000,Individual
4,1982000,Individual
4,1800000,Individual
4,1642000,Individual
5,1919000,Individual
5,3068000,Individual
5,1614000,Individual
5,2172000,Individual
5,2068000,Individual
5,1647000,Individual
5,1838000,Individual
5,2233000,Individual
5,1820000,Individual
5,2200000,Individual
5,1679000,Individual
5,2100000,Individual
5,2068000,Individual
5,1800000,Individual
5,1691000,Individual
6,1955000,Individual
6,2077000,Individual
6,2749000,Individual
6,2003000,Individual
6,2305000,Individual
6,1838000,Individual
6,2640000,Individual
6,1634000,Individual
6,2269000,Individual
6,2200000,Individual
6,1781000,Individual
6,2172000,Individual
6,1952000,Individual
6,1363000,Individual
6,1544000,Individual
0,1354000,Ensemble
0,1856000,Ensemble
0,1875000,Ensemble
0,1728000,Ensemble
0,1588000,Ensemble
0,1049000,Ensemble
0,1184000,Ensemble
0,1182000,Ensemble
0,1518000,Ensemble
0,1085000,Ensemble
0,1203000,Ensemble
0,2149000,Ensemble
0,1532000,Ensemble
0,1096000,Ensemble
0,1278000,Ensemble
1,1981000,Ensemble
1,1838000,Ensemble
1,1800000,Ensemble
1,1679000,Ensemble
1,1957000,Ensemble
1,1992000,Ensemble
1,2365000,Ensemble
1,2068000,Ensemble
1,2156000,Ensemble
1,1614000,Ensemble
1,1825000,Ensemble
1,1955000,Ensemble
1,1619000,Ensemble
1,1634000,Ensemble
1,2310000,Ensemble
2,2068000,Ensemble
2,1791000,Ensemble
2,2068000,Ensemble
2,2003000,Ensemble
2,2475000,Ensemble
2,2172000,Ensemble
2,1349000,Ensemble
2,2464000,Ensemble
2,1815000,Ensemble
2,2180000,Ensemble
2,1453000,Ensemble
2,2172000,Ensemble
2,2041000,Ensemble
2,2213000,Ensemble
2,2833000,Ensemble
3,1955000,Ensemble
3,1826000,Ensemble
3,1620000,Ensemble
3,2172000,Ensemble
3,2299000,Ensemble
3,2100000,Ensemble
3,1791000,Ensemble
3,2265000,Ensemble
3,1363000,Ensemble
3,2516000,Ensemble
3,1825000,Ensemble
3,1656000,Ensemble
3,1675000,Ensemble
3,1825000,Ensemble
3,1838000,Ensemble
4,2180000,Ensemble
4,2360000,Ensemble
4,2598000,Ensemble
4,2024000,Ensemble
4,1656000,Ensemble
4,2172000,Ensemble
4,1955000,Ensemble
4,2024000,Ensemble
4,2100000,Ensemble
4,2064000,Ensemble
4,1791000,Ensemble
4,1815000,Ensemble
4,1679000,Ensemble
4,1619000,Ensemble
4,1505000,Ensemble
5,2094000,Ensemble
5,2005000,Ensemble
5,2094000,Ensemble
5,2112000,Ensemble
5,2401000,Ensemble
5,2404000,Ensemble
5,2643000,Ensemble
5,1903000,Ensemble
5,1624000,Ensemble
5,2222000,Ensemble
5,2227000,Ensemble
5,1934000,Ensemble
5,2301000,Ensemble
5,1620000,Ensemble
5,1704000,Ensemble
6,2749000,Ensemble
6,2360000,Ensemble
6,1798000,Ensemble
6,2213000,Ensemble
6,1952000,Ensemble
6,2003000,Ensemble
6,1876000,Ensemble
6,2164000,Ensemble
6,2434000,Ensemble
6,2305000,Ensemble
6,2269000,Ensemble
6,2216000,Ensemble
6,2605000,Ensemble
6,1838000,Ensemble
6,2024000,Ensemble
